15

2 7 490 3283 1260
1 42 1470 3528 0
1 70 1750 3220 0
1 84 1680 3276 0
2 0 210 3150 1680
2 0 336 3360 1344
2 0 378 3150 1512
2 0 504 3360 1176
1 0 840 4200 0
1 0 1260 3780 0
1 0 1680 3360 0
2 0 0 2520 2520
2 0 0 3360 1680
1 0 0 5040 0
2 0 0 0 5040

2 6 390 3204 1440
2 0 300 3300 1440
2 0 360 3240 1440
1 60 1500 3480 0
1 48 1440 3552 0
1 54 1530 3456 0
1 0 1440 3600 0
2 0 360 3240 1440
2 0 360 3240 1440
2 0 240 3360 1440
1 0 1440 3600 0
1 0 1440 3600 0
2 0 0 3600 1440
1 0 0 5040 0

2 10 550 3280 1200
2 0 480 3360 1200
1 10 1150 3880 0
1 40 1480 3520 0
1 0 1440 3600 0
1 120 1800 3120 0
2 0 120 3000 1920
2 0 180 3180 1680
2 0 480 3120 1440
1 0 720 4320 0
1 0 960 4080 0
2 0 0 2640 2400
1 0 0 5040 0

2 12 504 3228 1296
1 0 1200 3840 0
1 24 1560 3456 0
1 72 1440 3528 0
1 48 1800 3192 0
2 0 24 3000 2016
2 0 216 3240 1584
2 0 288 3600 1152
1 0 360 4680 0
1 0 960 4080 0
2 0 0 2160 2880
1 0 0 5040 0

2 10 550 3280 1200
2 0 360 3240 1440
2 0 360 3240 1440
2 0 120 3240 1680
1 120 2040 2880 0
1 60 1740 3240 0
1 0 1440 3600 0
2 0 720 3600 720
2 0 480 3600 960
1 0 2400 2640 0
2 0 0 5040 0

2 8 344 3152 1536
2 0 360 3240 1440
2 0 384 3120 1536
1 24 1560 3456 0
1 48 1440 3552 0
1 96 1200 3744 0
2 0 288 3600 1152
2 0 384 3120 1536
1 0 1680 3360 0
2 0 0 5040 0

2 18 414 3312 1296
2 0 144 3600 1296
1 0 1440 3600 0
1 72 1440 3528 0
1 0 1440 3600 0
2 0 144 3600 1296
2 0 432 2880 1728
1 0 1440 3600 0
2 0 0 5040 0

2 24 648 3216 1152
1 0 960 4080 0
1 24 1080 3936 0
1 144 1440 3456 0
2 0 72 3240 1728
2 0 336 2400 2304
1 0 1200 3840 0
2 0 0 5040 0

2 24 984 3456 576
2 0 576 3600 864
2 0 288 3600 1152
1 288 2880 1872 0
1 96 2640 2304 0
2 0 1440 3600 0
1 0 5040 0 0

2 12 504 3228 1296
2 0 432 2880 1728
1 72 2520 2448 0
1 144 1920 2976 0
2 0 960 4080 0
1 0 5040 0 0

2 48 576 2112 2304
1 0 2160 2880 0
1 144 1440 3456 0
2 0 720 4320 0
1 0 5040 0 0

2 72 1800 3168 0
2 0 1440 3600 0
1 720 4320 0 0
2 0 5040 0 0

2 48 960 4032 0
1 480 4560 0 0
2 0 5040 0 0

2 240 4800 0 0
1 5040 0 0 0

2 5040 0 0 0

