1 23 2
2 26 2
3 30 2
4 33 2
4 36 2
5 37 2
6 38 2
7 41 2
8 44 2
8 46 2
9 51 2
10 53 2
11 55 2
12 58 2
13 60 2
14 64 2
16 68 2
17 70 2
19 75 2
23 1 -16
23 79 4
23 81 4
23 86 4
24 80 2
24 82 2
24 84 2
24 87 2
25 79 2
25 85 -2
26 2 -14
26 88 4
26 90 4
27 89 2
27 91 2
27 92 2
28 88 2
28 89 -2
28 91 -2
29 93 4
29 94 2
29 95 2
29 96 2
30 3 -12
30 98 4
30 100 4
32 101 4
32 102 2
32 103 2
33 4 -10
33 105 4
33 108 2
34 105 -2
34 109 2
35 106 4
35 107 2
35 110 6
36 4 -6
36 108 2
37 5 -16
37 112 4
38 6 -12
38 113 4
38 115 4
40 116 4
40 117 2
40 118 2
41 7 -10
41 120 4
42 120 -2
43 121 4
43 122 2
44 8 -8
44 124 2
45 123 4
45 125 6
46 8 -6
46 124 2
47 126 4
47 127 2
48 128 2
49 130 4
49 132 2
50 131 2
50 133 6
51 9 -8
52 134 4
53 10 -12
53 136 4
54 137 6
54 138 2
55 11 -10
55 139 4
56 139 -2
57 140 4
57 141 2
58 12 -8
59 142 4
60 13 -12
60 144 4
61 145 4
62 146 2
63 147 6
63 148 2
64 14 -6
65 149 6
66 150 6
67 151 2
68 16 -8
69 152 4
70 17 -6
71 153 6
72 154 6
73 155 2
75 19 -6
76 156 6
79 23 -4
79 25 -2
79 157 4
79 159 2
80 24 -2
80 158 2
81 23 -4
81 159 4
82 24 -2
82 158 -2
84 24 -2
84 158 -2
85 25 2
85 159 -2
86 23 -2
86 157 2
87 24 -2
87 158 2
88 26 -4
88 28 -2
88 160 4
89 27 -2
89 28 2
89 160 -2
90 26 -4
90 160 2
91 27 -2
91 28 2
91 160 -2
92 27 -2
93 29 -4
93 161 4
93 163 2
94 29 -2
94 162 2
94 163 2
95 29 -2
95 162 2
95 163 2
96 29 -2
96 161 4
97 162 2
98 30 -4
100 30 -2
101 32 -4
101 164 4
102 32 -2
102 164 2
103 32 -2
103 164 2
105 33 -4
105 34 2
105 166 2
106 35 -4
106 165 10
106 167 6
107 35 -2
107 168 6
108 33 -6
108 36 -10
108 166 4
109 34 -6
109 166 -2
110 35 -2
110 167 4
110 168 2
112 37 -8
113 38 -4
115 38 -2
116 40 -4
116 169 4
117 40 -2
117 169 2
118 40 -2
118 169 2
120 41 -4
120 42 2
121 43 -4
121 170 10
122 43 -2
123 45 -4
123 171 6
124 44 -6
124 46 -8
125 45 -2
125 171 4
126 47 -4
126 172 10
127 47 -2
128 48 -10
128 173 4
129 173 -2
130 49 -4
130 174 2
131 50 -8
131 175 6
132 49 -6
132 174 4
133 50 -2
133 175 2
134 52 -4
136 53 -6
137 54 -2
137 176 2
138 54 -6
138 176 6
139 55 -4
139 56 2
140 57 -4
140 177 10
141 57 -2
142 59 -4
144 60 -6
145 61 -4
146 62 -8
147 63 -2
147 178 2
148 63 -6
148 178 6
149 65 -2
150 66 -2
151 67 -6
152 69 -4
153 71 -2
154 72 -2
155 73 -6
156 76 -2
157 79 -4
157 86 -4
158 80 -2
158 82 2
158 84 2
158 87 -2
159 79 -2
159 81 -4
159 85 2
160 88 -4
160 89 2
160 90 -2
160 91 2
161 93 -4
161 96 -4
161 179 14
162 94 -2
162 95 -2
162 97 -2
163 93 -2
163 94 -2
163 95 -2
164 101 -4
164 102 -2
164 103 -2
165 106 -2
165 180 6
166 105 -6
166 108 -4
166 109 2
167 106 -2
167 110 -4
167 180 10
168 107 -2
168 110 -2
169 116 -4
169 117 -2
169 118 -2
170 121 -2
171 123 -2
171 125 -4
172 126 -2
173 128 -4
173 129 2
174 130 -6
174 132 -4
175 131 -2
175 133 -8
176 137 -6
176 138 -2
177 140 -2
178 147 -6
178 148 -2
179 161 -2
180 165 -2
180 167 -2
180 180 0
