30

2 9 1890 53865 234540 72576
1 72 9072 134568 219168 0
1 126 12348 147294 203112 0
1 162 12852 144018 205848 0
1 180 12600 144900 205200 0
2 0 504 35280 236376 90720
2 0 864 45360 238896 77760
2 0 1080 45360 234360 82080
2 0 1152 44352 237888 79488
2 0 1440 55440 236880 69120
2 0 1728 54432 235872 70848
2 0 1944 54432 231336 75168
1 0 3024 105840 254016 0
1 0 5040 126000 231840 0
1 0 6048 120960 235872 0
1 0 8064 141120 213696 0
1 0 9072 136080 217728 0
1 0 12096 151200 199584 0
2 0 0 15120 226800 120960
2 0 0 24192 241920 96768
2 0 0 27216 226800 108864
2 0 0 36288 241920 84672
2 0 0 48384 241920 72576
1 0 0 60480 302400 0
1 0 0 90720 272160 0
1 0 0 120960 241920 0
2 0 0 0 181440 181440
2 0 0 0 241920 120960
1 0 0 0 362880 0
2 0 0 0 0 362880

2 8 1456 46312 234464 80640
2 0 784 43120 238336 80640
2 0 1008 45360 235872 80640
2 0 1120 44800 236320 80640
1 112 10192 134848 217728 0
1 96 9072 134064 219648 0
1 120 10080 135240 217440 0
1 128 10304 133952 218496 0
1 0 6720 134400 221760 0
1 0 8064 134400 220416 0
1 0 9072 136080 217728 0
2 0 1008 45360 235872 80640
2 0 1120 44800 236320 80640
2 0 1344 47040 233856 80640
2 0 896 42560 238784 80640
2 0 1008 45360 235872 80640
2 0 0 40320 241920 80640
1 0 6720 134400 221760 0
1 0 8064 134400 220416 0
1 0 9072 136080 217728 0
1 0 8064 134400 220416 0
1 0 5376 134400 223104 0
2 0 0 33600 248640 80640
2 0 0 40320 241920 80640
2 0 0 40320 241920 80640
1 0 0 120960 241920 0
1 0 0 134400 228480 0
2 0 0 0 282240 80640
1 0 0 0 362880 0

2 14 2156 56546 233604 70560
2 0 1512 54180 236628 70560
2 0 1680 54600 236040 70560
1 14 5096 121226 236544 0
1 84 8988 134736 219072 0
1 0 7560 134400 220920 0
1 0 8064 134400 220416 0
1 280 15400 147280 199920 0
1 168 13440 147672 201600 0
1 0 11340 147420 204120 0
2 0 252 26460 235368 100800
2 0 560 35000 236600 90720
2 0 168 33600 238392 90720
2 0 1344 47040 233856 80640
2 0 756 44100 237384 80640
2 0 3024 60480 228816 70560
1 0 2520 96600 263760 0
1 0 3696 109200 249984 0
1 0 2268 109620 250992 0
1 0 6048 122640 234192 0
1 0 13440 134400 215040 0
2 0 0 16800 225120 120960
2 0 0 20160 231840 110880
2 0 0 30240 231840 100800
1 0 0 75600 287280 0
1 0 0 87360 275520 0
2 0 0 0 221760 141120
1 0 0 0 362880 0

2 18 2268 53982 233172 73440
2 0 1800 54000 233640 73440
1 0 5292 122220 235368 0
1 36 8820 138024 216000 0
1 90 9540 134370 218880 0
1 0 8640 135360 218880 0
1 0 10800 151200 200880 0
1 144 12384 146736 203616 0
1 486 14256 142074 206064 0
2 0 36 23940 235224 103680
2 0 360 36000 238680 87840
2 0 360 34560 237240 90720
2 0 576 46080 241344 74880
2 0 1404 45900 237816 77760
2 0 720 54000 243360 64800
1 0 720 86400 275760 0
1 0 2448 108720 251712 0
1 0 2484 104220 256176 0
1 0 5760 127440 229680 0
1 0 5760 149760 207360 0
2 0 0 7200 217440 138240
2 0 0 15120 231120 116640
2 0 0 27360 240480 95040
1 0 0 45360 317520 0
1 0 0 72000 290880 0
2 0 0 0 181440 181440
1 0 0 0 362880 0

2 20 2000 53660 235200 72000
1 0 5880 121800 235200 0
1 0 8400 138000 216480 0
1 60 9360 133380 220080 0
1 160 9280 134560 218880 0
1 80 12440 149240 201120 0
1 120 12480 146760 203520 0
1 0 12960 142560 207360 0
2 0 0 25200 234000 103680
2 0 120 35400 240960 86400
2 0 720 36000 234000 92160
2 0 640 45760 241600 74880
2 0 720 46080 235440 80640
2 0 1440 56880 235440 69120
1 0 120 85800 276960 0
1 0 1920 111360 249600 0
1 0 4320 103680 254880 0
1 0 4320 129600 228960 0
1 0 7680 145920 209280 0
2 0 0 2880 216000 144000
2 0 0 15120 232560 115200
2 0 0 23040 253440 86400
1 0 0 30240 332640 0
1 0 0 69120 293760 0
2 0 0 0 161280 201600
1 0 0 0 362880 0

2 14 2156 56546 233604 70560
2 0 1092 44940 236208 80640
2 0 1260 46200 234780 80640
2 0 1344 47040 233856 80640
2 0 280 32200 239680 90720
2 0 168 33600 238392 90720
2 0 0 34020 238140 90720
1 252 16380 159768 186480 0
1 140 12320 147140 203280 0
1 168 13440 147672 201600 0
1 0 8064 134400 220416 0
1 0 8316 134820 219744 0
1 0 3024 120960 238896 0
2 0 2520 71400 238560 50400
2 0 2016 62160 238224 60480
2 0 2268 64260 235872 60480
2 0 1008 52080 239232 70560
2 0 0 40320 241920 80640
1 0 16800 184800 161280 0
1 0 15120 171360 176400 0
1 0 10080 161280 191520 0
2 0 0 75600 257040 30240
2 0 0 67200 255360 40320
1 0 0 211680 151200 0
2 0 0 0 362880 0

2 12 1524 43968 233856 83520
2 0 1080 45000 236160 80640
2 0 960 44160 237120 80640
2 0 1200 44400 233760 83520
2 0 1008 45360 235872 80640
2 0 972 46980 237168 77760
1 36 8820 138024 216000 0
1 120 9840 131160 221760 0
1 0 8640 135360 218880 0
1 192 9984 127488 225216 0
1 108 9756 131832 221184 0
1 0 10080 128160 224640 0
2 0 720 46800 243360 72000
2 0 1008 45360 235872 80640
2 0 324 45900 238896 77760
2 0 1440 44640 230400 86400
2 0 1920 42240 226560 92160
1 0 7200 151200 204480 0
1 0 7200 142560 213120 0
1 0 10080 128160 224640 0
2 0 0 43200 267840 51840
2 0 0 43200 250560 69120
1 0 0 161280 201600 0
2 0 0 0 362880 0

2 15 1530 46695 235440 79200
2 0 1440 46560 234240 80640
2 0 120 40200 243360 79200
2 0 840 42480 240360 79200
2 0 1620 45360 238140 77760
1 0 8280 135000 219600 0
1 60 9360 133380 220080 0
1 120 10080 135240 217440 0
1 0 8160 133920 220800 0
1 180 9360 135900 217440 0
1 0 3600 138240 221040 0
2 0 120 40200 243360 79200
2 0 720 44160 234480 83520
2 0 1080 44280 239760 77760
2 0 1200 43920 235680 82080
2 0 0 40320 241920 80640
1 0 2400 135840 224640 0
1 0 6480 133920 222480 0
1 0 8640 128160 226080 0
2 0 0 23760 274320 64800
2 0 0 38400 238080 86400
1 0 0 131040 231840 0
2 0 0 0 362880 0

