M	L	deltaE
25	1	-0.618882
25	2	3.02301
25	3	5.17601
25	4	1.23137
25	5	6.06695
25	6	0.294318
25	7	5.52712
25	8	-0.257427
25	9	4.10819
25	10	-0.606057
25	11	1.9121
25	12	-0.828152
25	13	-1.1472
25	14	-0.959042
25	15	-5.33843
25	16	-1.01364
25	17	-11.2513
25	18	-0.991199
25	19	-20.2544
25	20	-0.864451
25	21	-36.2302
25	22	-0.498406
25	23	-75.8039
25	24	1.06448
