M	L	deltaE
25	1	4.65092
25	2	-293.818
25	3	32.738
25	4	-295.66
25	5	61.3224
25	6	-276.948
25	7	89.7854
25	8	-253.948
25	9	118.241
25	10	-229.18
25	11	146.912
25	12	-203.213
25	13	176.112
25	14	-176.149
25	15	206.322
25	16	-147.909
25	17	238.361
25	18	-118.26
25	19	273.766
25	20	-86.6947
25	21	315.792
25	22	-51.8515
25	23	371.084
25	24	-6.1207
