M	L	deltaE
23	1	2.36776
23	2	-16.1824
23	3	18.0166
23	4	-19.4789
23	5	29.9724
23	6	-19.6604
23	7	40.6227
23	8	-18.798
23	9	50.4466
23	10	-17.4082
23	11	59.5911
23	12	-15.6672
23	13	68.055
23	14	-13.6367
23	15	75.6754
23	16	-11.3157
23	17	81.9115
23	18	-8.62683
23	19	84.8128
23	20	-5.25393
23	21	73.3703
23	22	1.07014
