M	L	deltaE
15	1	2.62186
15	2	-27.2111
15	3	17.0804
15	4	-27.5779
15	5	29.8301
15	6	-24.6243
15	7	41.8271
15	8	-20.4885
15	9	53.281
15	10	-15.5115
15	11	63.9779
15	12	-9.47411
15	13	70.7811
=============================
M	L	deltaE
15	1	0.0149731
15	2	-0.0959292
15	3	0.0466917
15	4	-0.0643809
15	5	0.0629427
15	6	-0.0488785
15	7	0.0806568
15	8	-0.0395088
15	9	0.105761
15	10	-0.0327298
15	11	0.149357
15	12	-0.0258989
15	13	0.24953
