M	L	deltaE
27	1	5.3816
27	2	-126.331
27	3	34.0171
27	4	-132.261
27	5	60.2599
27	6	-126.834
27	7	85.4164
27	8	-118.621
27	9	109.918
27	10	-109.213
27	11	134.012
27	12	-99.0626
27	13	157.889
27	14	-88.314
27	15	181.748
27	16	-76.9979
27	17	205.831
27	18	-65.0759
27	19	230.478
27	20	-52.4307
27	21	256.149
27	22	-38.784
27	23	283.092
27	24	-23.3153
27	25	305.336
27	26	-0.885578
