M	L	deltaE
23	1	0.0114927
23	2	-0.205509
23	3	0.0338986
23	4	-0.132101
23	5	0.044643
23	6	-0.098323
23	7	0.0539381
23	8	-0.0788898
23	9	0.0638326
23	10	-0.0661293
23	11	0.0756454
23	12	-0.056975
23	13	0.0910162
23	14	-0.0499249
23	15	0.112808
23	16	-0.0440749
23	17	0.147237
23	18	-0.0386161
23	19	0.211561
23	20	-0.0318097
23	21	0.378532
23	22	-0.00534913
