M	L	deltaE
14	1	-3672.98
14	2	-10822.9
14	3	-17864.1
14	4	-24065.2
14	5	-28651.2
14	6	-31022
14	7	-30861.1
14	8	-28199.6
14	9	-23419.8
14	10	-17195.2
14	11	-10392.6
14	12	-3979.53
=============================
M	L	deltaE
14	1	-28.9018
14	2	-60.3878
14	3	-83.2356
14	4	-100.368
14	5	-111.546
14	6	-116.264
14	7	-114.255
14	8	-105.686
14	9	-91.1793
14	10	-71.7154
14	11	-48.423
14	12	-22.2044
