M	L	deltaE
12	1	-2653.45
12	2	-7671.36
12	3	-12294.8
12	4	-15865.6
12	5	-17776.5
12	6	-17687.8
12	7	-15624.2
12	8	-11983.5
12	9	-7456.37
12	10	-2903.47
=============================
M	L	deltaE
12	1	-28.4829
12	2	-58.7062
12	3	-79.2357
12	4	-92.6126
12	5	-98.4248
12	6	-96.3093
12	7	-86.5076
12	8	-69.9516
12	9	-48.0535
12	10	-22.2192
