M	L	deltaE
23	1	0.00498753
23	2	0.0853141
23	3	0.00661239
23	4	0.0476393
23	5	0.00897406
23	6	0.032756
23	7	0.0111394
23	8	0.0247855
23	9	0.0134473
23	10	0.0197461
23	11	0.0161893
23	12	0.0161893
23	13	0.0197461
23	14	0.0134473
23	15	0.0247855
23	16	0.0111394
23	17	0.032756
23	18	0.00897406
23	19	0.0476393
23	20	0.00661239
23	21	0.0853141
23	22	0.00498753
