M	L	deltaE
23	1	4.16424
23	2	-64.17
23	3	26.7191
23	4	-67.8071
23	5	46.721
23	6	-64.7091
23	7	65.6714
23	8	-59.7415
23	9	83.9929
23	10	-53.8725
23	11	101.906
23	12	-47.3833
23	13	119.571
23	14	-40.3494
23	15	137.129
23	16	-32.7389
23	17	154.661
23	18	-24.3852
23	19	171.693
23	20	-14.7215
23	21	181.627
=============================
M	L	deltaE
23	1	0.00997507
23	2	-0.0932191
23	3	0.0294522
23	4	-0.0621889
23	5	0.037543
23	6	-0.0471275
23	7	0.0444268
23	8	-0.0382677
23	9	0.0517592
23	10	-0.0323836
23	11	0.0605176
23	12	-0.0281389
23	13	0.0718758
23	14	-0.0248647
23	15	0.0878387
23	16	-0.0221479
23	17	0.11264
23	18	-0.0195949
23	19	0.157468
23	20	-0.0162274
23	21	0.263847
