M	L	deltaE
19	1	3.39905
19	2	-43.7831
19	3	21.9234
19	4	-45.5861
19	5	38.326
19	6	-42.5367
19	7	53.8465
19	8	-38.0147
19	9	68.8356
19	10	-32.6822
19	11	83.4707
19	12	-26.6924
19	13	97.8229
19	14	-19.9785
19	15	111.532
19	16	-12.1065
19	17	119.879
=============================
M	L	deltaE
19	1	0.0119958
19	2	-0.0943385
19	3	0.0361332
19	4	-0.0631082
19	5	0.0470034
19	6	-0.0478951
19	7	0.0571716
19	8	-0.0388977
19	9	0.0691862
19	10	-0.0328487
19	11	0.0854095
19	12	-0.0283407
19	13	0.110146
19	14	-0.0245018
19	15	0.154401
19	16	-0.0199534
19	17	0.2583
