M	L	deltaE
21	1	0.0111898
21	2	-0.361202
21	3	0.0366867
21	4	-0.228194
21	5	0.050681
21	6	-0.168307
21	7	0.0634187
21	8	-0.13412
21	9	0.0776233
21	10	-0.111681
21	11	0.0955706
21	12	-0.0954479
21	13	0.120785
21	14	-0.0826261
21	15	0.16081
21	16	-0.0712206
21	17	0.237081
21	18	-0.0579961
21	19	0.446325
21	20	-0.0147972
