M	L	deltaE
25	1	0.00941066
25	2	-0.359655
25	3	0.0303199
25	4	-0.22707
25	5	0.0411056
25	6	-0.167521
25	7	0.0501952
25	8	-0.133661
25	9	0.0594797
25	10	-0.11161
25	11	0.070065
25	12	-0.0959262
25	13	0.083133
25	14	-0.0840089
25	15	0.100479
25	16	-0.0744037
25	17	0.125457
25	18	-0.0661142
25	19	0.165596
25	20	-0.0581131
25	21	0.242532
25	22	-0.0480216
25	23	0.454234
25	24	-0.0123846
