M	L	deltaE
21	1	3.78271
21	2	-53.4997
21	3	24.3254
21	4	-56.1698
21	5	42.5318
21	6	-53.089
21	7	59.7735
21	8	-48.3479
21	9	76.4388
21	10	-42.7583
21	11	92.7327
21	12	-36.5427
21	13	108.799
21	14	-29.7279
21	15	124.707
21	16	-22.1868
21	17	140.038
21	18	-13.4155
21	19	149.172
=============================
M	L	deltaE
21	1	0.0108957
21	2	-0.0937333
21	3	0.0324541
21	4	-0.0626127
21	5	0.0417395
21	6	-0.0474845
21	7	0.0499823
21	8	-0.0385675
21	9	0.0591743
21	10	-0.0326212
21	11	0.0707476
21	12	-0.0282892
21	13	0.0867899
21	14	-0.0248583
21	15	0.111542
21	16	-0.0217735
21	17	0.1561
21	18	-0.0178985
21	19	0.261354
