M	L	deltaE
21	1	-0.566612
21	2	2.01631
21	3	4.10274
21	4	0.699053
21	5	4.52486
21	6	0.0148354
21	7	3.58019
21	8	-0.378184
21	9	1.66183
21	10	-0.610881
21	11	-1.28429
21	12	-0.73535
21	13	-5.63209
21	14	-0.768716
21	15	-12.3567
21	16	-0.696918
21	17	-24.2843
21	18	-0.411312
21	19	-53.5493
21	20	0.890037
