M	L	deltaE
23	1	4.2684
23	2	-248.076
23	3	30.118
23	4	-248.164
23	5	56.4794
23	6	-230.545
23	7	82.8014
23	8	-209.049
23	9	109.223
23	10	-185.824
23	11	136.012
23	12	-161.338
23	13	163.579
23	14	-135.637
23	15	192.616
23	16	-108.553
23	17	224.423
23	18	-79.6407
23	19	261.753
23	20	-47.6628
23	21	310.209
23	22	-5.62907
