M	L	deltaE
29	1	5.30039
29	2	-101.902
29	3	33.8686
29	4	-109.041
29	5	59.2271
29	6	-105.984
29	7	83.2643
29	8	-100.314
29	9	106.502
29	10	-93.53
29	11	129.198
29	12	-86.083
29	13	151.522
29	14	-78.1359
29	15	173.615
29	16	-69.7447
29	17	195.623
29	18	-60.9113
29	19	217.717
29	20	-51.5933
29	21	240.101
29	22	-41.6856
29	23	262.926
29	24	-30.9428
29	25	285.546
29	26	-18.628
29	27	297.963
=============================
M	L	deltaE
29	1	0.00794518
29	2	-0.0920581
29	3	0.0230481
29	4	-0.0612264
29	5	0.028861
29	6	-0.0463055
29	7	0.0333806
29	8	-0.0375546
29	9	0.0377582
29	10	-0.0317705
29	11	0.0424746
29	12	-0.0276372
29	13	0.0479013
29	14	-0.0245141
29	15	0.0544693
29	16	-0.0220487
29	17	0.0628052
29	18	-0.0200249
29	19	0.0739548
29	20	-0.0182914
29	21	0.0898865
29	22	-0.0167117
29	23	0.114874
29	24	-0.0150782
29	25	0.160334
29	26	-0.0126766
29	27	0.269178
