M	L	deltaE
23	1	4.79778
23	2	-141.468
23	3	30.7529
23	4	-144.036
23	5	55.5567
23	6	-135.004
23	7	79.731
23	8	-123.159
23	9	103.585
23	10	-110.011
23	11	127.38
23	12	-95.9403
23	13	151.412
23	14	-81.0162
23	15	176.11
23	16	-65.1512
23	17	202.165
23	18	-48.0565
23	19	230.673
23	20	-28.8578
23	21	260.573
23	22	-2.23307
