M	L	deltaE
21	1	0.0125719
21	2	-0.206192
21	3	0.0374139
21	4	-0.13263
21	5	0.0497549
21	6	-0.0987303
21	7	0.0608945
21	8	-0.079183
21	9	0.0733287
21	10	-0.0662879
21	11	0.0890222
21	12	-0.0569387
21	13	0.110949
21	14	-0.0495482
21	15	0.145342
21	16	-0.0429524
21	17	0.209364
21	18	-0.0351039
21	19	0.375115
21	20	-0.00586941
