M	L	deltaE
23	1	0.00567177
23	2	-0.023508
23	3	0.0198595
23	4	-0.017865
23	5	0.0240846
23	6	-0.0143186
23	7	0.0274813
23	8	-0.0120411
23	9	0.0310869
23	10	-0.0104643
23	11	0.0353887
23	12	-0.00930412
23	13	0.0409089
23	14	-0.00840342
23	15	0.0484742
23	16	-0.00765511
23	17	0.059656
23	18	-0.00693216
23	19	0.0777857
23	20	-0.00579135
23	21	0.106584
23	22	0.00256343
