M	L	deltaE
25	1	0.00792368
25	2	-0.0598498
25	3	0.0240282
25	4	-0.0410714
25	5	0.0299528
25	6	-0.0315211
25	7	0.0347553
25	8	-0.0258042
25	9	0.0396839
25	10	-0.0219797
25	11	0.0453385
25	12	-0.0192206
25	13	0.0523127
25	14	-0.0171126
25	15	0.0614733
25	16	-0.0154153
25	17	0.0743711
25	18	-0.013955
25	19	0.0942678
25	20	-0.0125224
25	21	0.129507
25	22	-0.0104616
25	23	0.207812
25	24	0.00124923
