M	L	deltaE
27	1	4.2455
27	2	-56.9335
27	3	28.085
27	4	-62.5116
27	5	48.3859
27	6	-61.2634
27	7	67.3436
27	8	-58.088
27	9	85.4937
27	10	-54.0361
27	11	103.073
27	12	-49.4424
27	13	120.22
27	14	-44.4323
27	15	137.026
27	16	-39.0473
27	17	153.558
27	18	-33.2782
27	19	169.825
27	20	-27.0617
27	21	185.613
27	22	-20.2257
27	23	199.518
27	24	-12.2163
27	25	200.188
27	26	0.667149
