M	L	deltaE
25	1	5.22955
25	2	-167.405
25	3	33.4597
25	4	-171.4
25	5	60.4111
25	6	-161.941
25	7	86.6405
25	8	-149.348
25	9	112.464
25	10	-135.393
25	11	138.126
25	12	-120.535
25	13	163.879
25	14	-104.888
25	15	190.05
25	16	-88.4295
25	17	217.135
25	18	-71.0232
25	19	245.957
25	20	-52.3346
25	21	277.824
25	22	-31.401
25	23	311.565
25	24	-2.42832
