M	L	deltaE
11	1	-2203.62
11	2	-6284.07
11	3	-9853.76
11	4	-12304.7
11	5	-13141
11	6	-12189.1
11	7	-9669.26
11	8	-6150.83
11	9	-2425.64
=============================
M	L	deltaE
11	1	-28.1947
11	2	-57.5384
11	3	-76.4399
11	4	-87.207
11	5	-89.4036
11	6	-82.9274
11	7	-68.5289
11	8	-47.7147
11	9	-22.2097
