M	L	deltaE
25	1	-0.00125225
25	2	0.00370039
25	3	0.0047937
25	4	0.000945706
25	5	0.00406679
25	6	0.000178028
25	7	0.00308998
25	8	-0.000135492
25	9	0.00206657
25	10	-0.00029515
25	11	0.000911915
25	12	-0.000390927
25	13	-0.000541534
25	14	-0.000457385
25	15	-0.00259982
25	16	-0.000509898
25	17	-0.00592191
25	18	-0.000554138
25	19	-0.0122515
25	20	-0.000579458
25	21	-0.0278252
25	22	-0.000461593
25	23	-0.0927894
25	24	0.00215386
