M	L	deltaE
23	1	-0.00141723
23	2	0.00362425
23	3	0.00512052
23	4	0.000870366
23	5	0.00426759
23	6	0.000103766
23	7	0.00310161
23	8	-0.000210057
23	9	0.00181556
23	10	-0.0003715
23	11	0.000258522
23	12	-0.000470477
23	13	-0.00188442
23	14	-0.000541135
23	15	-0.00528581
23	16	-0.000596479
23	17	-0.0117142
23	18	-0.000627912
23	19	-0.0274849
23	20	-0.000501577
23	21	-0.0932577
23	22	0.00234116
